concept_id,concept_code,concept_name,body_system,progressive,icd
44831017,206,Monocytic leukemia,malignancy,no,9
44831020,209.0,Malignant carcinoid tumors of the small intestine,malignancy,no,9
44829790,148,Malignant neoplasm of hypopharynx,malignancy,no,9
44829795,155,Malignant neoplasm of liver and intrahepatic bile ducts,malignancy,no,9
44829799,160,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",malignancy,no,9
44829803,164,"Malignant neoplasm of thymus, heart, and mediastinum",malignancy,no,9
44829811,175,Malignant neoplasm of male breast,malignancy,no,9
44829813,183,Malignant neoplasm of ovary and other uterine adnexa,malignancy,no,9
44829815,186,Malignant neoplasm of testis,malignancy,no,9
44832117,141,Malignant neoplasm of tongue,malignancy,no,9
44832129,180,Malignant neoplasm of cervix uteri,malignancy,no,9
44832131,190,Malignant neoplasm of eye,malignancy,no,9
44834480,150,Malignant neoplasm of esophagus,malignancy,no,9
44834484,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,malignancy,no,9
44834486,172,Malignant melanoma of skin,malignancy,no,9
44834492,179,"Malignant neoplasm of uterus, part unspecified",malignancy,no,9
44833310,199,Malignant neoplasm without specification of site,malignancy,no,9
44833324,202,Other malignant neoplasms of lymphoid and histiocytic tissue,malignancy,no,9
44835661,142,Malignant neoplasm of major salivary glands,malignancy,no,9
44835663,143,Malignant neoplasm of gum,malignancy,no,9
44835670,154,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",malignancy,no,9
44835671,156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,malignancy,no,9
44833283,144,Malignant neoplasm of floor of mouth,malignancy,no,9
44833294,170,Malignant neoplasm of bone and articular cartilage,malignancy,no,9
44833300,176,Kaposi's sarcoma,malignancy,no,9
44833301,181,Malignant neoplasm of placenta,malignancy,no,9
44836833,171,Malignant neoplasm of connective and other soft tissue,malignancy,no,9
44836847,196,Secondary and unspecified malignant neoplasm of lymph nodes,malignancy,no,9
44836850,198,Secondary malignant neoplasm of other specified sites,malignancy,no,9
44836878,209.1,"Malignant carcinoid tumors of the appendix, large intestine, and rectum",malignancy,no,9
44836880,209.2,Malignant carcinoid tumors of other and unspecified sites,malignancy,no,9
45890917,209.7,Secondary neuroendocrine tumors,malignancy,no,9
45532891,C04.0,Malignant neoplasm: Anterior floor of mouth,malignancy,n/a,10
45532892,C10.0,Malignant neoplasm: Vallecula,malignancy,n/a,10
45532894,C16.4,Malignant neoplasm: Pylorus,malignancy,n/a,10
45532895,C17.8,Malignant neoplasm: Overlapping lesion of small intestine,malignancy,n/a,10
45532896,C21.2,Malignant neoplasm: Cloacogenic zone,malignancy,n/a,10
45532898,C26.0,"Malignant neoplasm: Intestinal tract, part unspecified",malignancy,n/a,10
45532914,C54.0,Malignant neoplasm: Isthmus uteri,malignancy,n/a,10
45532922,C63.7,Malignant neoplasm: Other specified male genital organs,malignancy,n/a,10
45532924,C67.8,Malignant neoplasm: Overlapping lesion of bladder,malignancy,n/a,10
45532925,C68.0,Malignant neoplasm: Urethra,malignancy,n/a,10
45532929,C70.9,"Malignant neoplasm: Meninges, unspecified",malignancy,n/a,10
45532931,C71.8,Malignant neoplasm: Overlapping lesion of brain,malignancy,n/a,10
45532933,C75.1,Malignant neoplasm: Pituitary gland,malignancy,n/a,10
45532934,C75.5,Malignant neoplasm: Aortic body and other paraganglia,malignancy,n/a,10
45532935,C76.0,"Malignant neoplasm of other and ill-defined sites: Head, face and neck",malignancy,n/a,10
45532936,C78.1,Secondary malignant neoplasm of mediastinum,malignancy,n/a,10
45532956,C86.3,Subcutaneous panniculitis-like T-cell lymphoma,malignancy,n/a,10
45532957,C88.2,Other heavy chain disease,malignancy,n/a,10
45537786,C00.9,"Malignant neoplasm: Lip, unspecified",malignancy,n/a,10
45537787,C02.9,"Malignant neoplasm: Tongue, unspecified",malignancy,n/a,10
45537788,C04.8,Malignant neoplasm: Overlapping lesion of floor of mouth,malignancy,n/a,10
45537789,C05.1,Malignant neoplasm: Soft palate,malignancy,n/a,10
45537791,C10.1,Malignant neoplasm: Anterior surface of epiglottis,malignancy,n/a,10
45537793,C13.0,Malignant neoplasm: Postcricoid region,malignancy,n/a,10
45537795,C22.9,"Malignant neoplasm: Liver, unspecified",malignancy,n/a,10
45537796,C25.8,Malignant neoplasm: Overlapping lesion of pancreas,malignancy,n/a,10
45537797,C25.9,"Malignant neoplasm: Pancreas, unspecified",malignancy,n/a,10
45537798,C31.0,Malignant neoplasm: Maxillary sinus,malignancy,n/a,10
45537799,C38.0,Malignant neoplasm: Heart,malignancy,n/a,10
45537800,C38.1,Malignant neoplasm: Anterior mediastinum,malignancy,n/a,10
45537801,C38.3,"Malignant neoplasm: Mediastinum, part unspecified",malignancy,n/a,10
45537803,C41.2,Malignant neoplasm: Vertebral column,malignancy,n/a,10
45537805,C43.8,Malignant neoplasm: Overlapping malignant melanoma of skin,malignancy,n/a,10
45537815,C47.0,"Malignant neoplasm: Peripheral nerves of head, face and neck",malignancy,n/a,10
45537816,C47.3,Malignant neoplasm: Peripheral nerves of thorax,malignancy,n/a,10
45537817,C49.0,"Malignant neoplasm: Connective and soft tissue of head, face and neck",malignancy,n/a,10
45537818,C49.6,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified",malignancy,n/a,10
45537826,C55,"Malignant neoplasm of uterus, part unspecified",malignancy,n/a,10
45537829,C67.1,Malignant neoplasm: Dome of bladder,malignancy,n/a,10
45537830,C68.9,"Malignant neoplasm: Urinary organ, unspecified",malignancy,n/a,10
45537835,C71.7,Malignant neoplasm: Brain stem,malignancy,n/a,10
45537871,C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lyphoma],malignancy,n/a,10
45552242,C00.4,"Malignant neoplasm: Lower lip, inner aspect",malignancy,n/a,10
45552243,C06.8,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth,malignancy,n/a,10
45552244,C11.2,Malignant neoplasm: Lateral wall of nasopharynx,malignancy,n/a,10
45552245,C17.0,Malignant neoplasm: Duodenum,malignancy,n/a,10
45552246,C18.6,Malignant neoplasm: Descending colon,malignancy,n/a,10
45552247,C22.0,Malignant neoplasm: Liver cell carcinoma,malignancy,n/a,10
45552248,C22.3,Malignant neoplasm: Angiosarcoma of liver,malignancy,n/a,10
45552249,C24.0,Malignant neoplasm: Extrahepatic bile duct,malignancy,n/a,10
45552257,C47.4,Malignant neoplasm: Peripheral nerves of abdomen,malignancy,n/a,10
45552261,C49.4,Malignant neoplasm: Connective and soft tissue of abdomen,malignancy,n/a,10
45552263,C53.8,Malignant neoplasm: Overlapping lesion of cervix uteri,malignancy,n/a,10
45552265,C57.3,Malignant neoplasm: Parametrium,malignancy,n/a,10
45552266,C57.7,Malignant neoplasm: Other specified female genital organs,malignancy,n/a,10
45552270,C67.6,Malignant neoplasm: Ureteric orifice,malignancy,n/a,10
45552271,C67.7,Malignant neoplasm: Urachus,malignancy,n/a,10
45552272,C68.1,Malignant neoplasm: Paraurethral gland,malignancy,n/a,10
45552275,C70.1,Malignant neoplasm: Spinal meninges,malignancy,n/a,10
45552280,C75.4,Malignant neoplasm: Carotid body,malignancy,n/a,10
45552282,C78.2,Secondary malignant neoplasm of pleura,malignancy,n/a,10
45542579,C02.1,Malignant neoplasm: Border of tongue,malignancy,n/a,10
45542580,C05.2,Malignant neoplasm: Uvula,malignancy,n/a,10
45542581,C08.0,Malignant neoplasm: Submandibular gland,malignancy,n/a,10
45542582,C10.4,Malignant neoplasm: Branchial cleft,malignancy,n/a,10
45542583,C10.8,Malignant neoplasm: Overlapping lesion of oropharynx,malignancy,n/a,10
45542584,C13.9,"Malignant neoplasm: Hypopharynx, unspecified",malignancy,n/a,10
45542585,C16.6,"Malignant neoplasm: Greater curvature of stomach, unspecified",malignancy,n/a,10
45542586,C18.0,Malignant neoplasm: Caecum,malignancy,n/a,10
45542587,C20,Malignant neoplasm of rectum,malignancy,n/a,10
45542588,C22.2,Malignant neoplasm: Hepatoblastoma,malignancy,n/a,10
45542589,C31.3,Malignant neoplasm: Sphenoidal sinus,malignancy,n/a,10
45542610,C48.1,Malignant neoplasm: Specified parts of peritoneum,malignancy,n/a,10
45542611,C49.9,"Malignant neoplasm: Connective and soft tissue, unspecified",malignancy,n/a,10
45542677,D03.9,"Melanoma in situ, unspecified",malignancy,n/a,10
45547478,C04.9,"Malignant neoplasm: Floor of mouth, unspecified",malignancy,n/a,10
45547479,C11.3,Malignant neoplasm: Anterior wall of nasopharynx,malignancy,n/a,10
45547480,C15.5,Malignant neoplasm: Lower third of oesophagus,malignancy,n/a,10
45547481,C16.2,Malignant neoplasm: Body of stomach,malignancy,n/a,10
45547482,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma,malignancy,n/a,10
45547483,C22.7,Malignant neoplasm: Other specified carcinomas of liver,malignancy,n/a,10
45547485,C25.4,Malignant neoplasm: Endocrine pancreas,malignancy,n/a,10
45542621,C71.0,"Malignant neoplasm: Cerebrum, except lobes and ventricles",malignancy,n/a,10
45542625,C75.0,Malignant neoplasm: Parathyroid gland,malignancy,n/a,10
45542626,C75.2,Malignant neoplasm: Craniopharyngeal duct,malignancy,n/a,10
45542627,C77.4,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,malignancy,n/a,10
45542670,C96.0,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],malignancy,n/a,10
45547491,C43.9,"Malignant neoplasm: Malignant melanoma of skin, unspecified",malignancy,n/a,10
45547506,C51.8,Malignant neoplasm: Overlapping lesion of vulva,malignancy,n/a,10
45547507,C53.9,"Malignant neoplasm: Cervix uteri, unspecified",malignancy,n/a,10
45547508,C60.1,Malignant neoplasm: Glans penis,malignancy,n/a,10
45547509,C61,Malignant neoplasm of prostate,malignancy,n/a,10
45547516,C71.6,Malignant neoplasm: Cerebellum,malignancy,n/a,10
45547519,C75.9,"Malignant neoplasm: Endocrine gland, unspecified",malignancy,n/a,10
45547520,C76.1,Malignant neoplasm of other and ill-defined sites: Thorax,malignancy,n/a,10
45547522,C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,malignancy,n/a,10
45547561,C96.9,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",malignancy,n/a,10
45561780,C02.4,Malignant neoplasm: Lingual tonsil,malignancy,n/a,10
45561781,C03.1,Malignant neoplasm: Lower gum,malignancy,n/a,10
45561782,C06.2,Malignant neoplasm: Retromolar area,malignancy,n/a,10
45561785,C13.2,Malignant neoplasm: Posterior wall of hypopharynx,malignancy,n/a,10
45561786,C14.2,Malignant neoplasm: Waldeyer ring,malignancy,n/a,10
45561788,C17.9,"Malignant neoplasm: Small intestine, unspecified",malignancy,n/a,10
45561789,C18.3,Malignant neoplasm: Hepatic flexure,malignancy,n/a,10
45561790,C18.9,"Malignant neoplasm: Colon, unspecified",malignancy,n/a,10
45561791,C19,Malignant neoplasm of rectosigmoid junction,malignancy,n/a,10
45561792,C21.8,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal",malignancy,n/a,10
45561793,C32.1,Malignant neoplasm: Supraglottis,malignancy,n/a,10
45561806,C46.0,Kaposi sarcoma of skin,malignancy,n/a,10
45561827,C71.3,Malignant neoplasm: Parietal lobe,malignancy,n/a,10
45561828,C71.5,Malignant neoplasm: Cerebral ventricle,malignancy,n/a,10
45566570,C02.3,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified",malignancy,n/a,10
45566571,C02.8,Malignant neoplasm: Overlapping lesion of tongue,malignancy,n/a,10
45566572,C08.9,"Malignant neoplasm: Major salivary gland, unspecified",malignancy,n/a,10
45566573,C09.0,Malignant neoplasm: Tonsillar fossa,malignancy,n/a,10
45566574,C10.2,Malignant neoplasm: Lateral wall of oropharynx,malignancy,n/a,10
45566576,C17.1,Malignant neoplasm: Jejunum,malignancy,n/a,10
45566577,C24.1,Malignant neoplasm: Ampulla of Vater,malignancy,n/a,10
45566578,C24.9,"Malignant neoplasm: Biliary tract, unspecified",malignancy,n/a,10
45566579,C30.0,Malignant neoplasm: Nasal cavity,malignancy,n/a,10
45566580,C31.2,Malignant neoplasm: Frontal sinus,malignancy,n/a,10
45566581,C32.2,Malignant neoplasm: Subglottis,malignancy,n/a,10
45566583,C41.0,Malignant neoplasm: Bones of skull and face,malignancy,n/a,10
45566591,C46.1,Kaposi sarcoma of soft tissue,malignancy,n/a,10
45556958,C00.2,"Malignant neoplasm: External lip, unspecified",malignancy,n/a,10
45556959,C00.5,"Malignant neoplasm: Lip, unspecified, inner aspect",malignancy,n/a,10
45556960,C05.8,Malignant neoplasm: Overlapping lesion of palate,malignancy,n/a,10
45556961,C06.9,"Malignant neoplasm: Mouth, unspecified",malignancy,n/a,10
45556964,C16.0,Malignant neoplasm: Cardia,malignancy,n/a,10
45556965,C18.5,Malignant neoplasm: Splenic flexure,malignancy,n/a,10
45556966,C21.0,"Malignant neoplasm: Anus, unspecified",malignancy,n/a,10
45556967,C25.1,Malignant neoplasm: Body of pancreas,malignancy,n/a,10
45556968,C25.2,Malignant neoplasm: Tail of pancreas,malignancy,n/a,10
45556969,C25.3,Malignant neoplasm: Pancreatic duct,malignancy,n/a,10
45556970,C25.7,Malignant neoplasm: Other parts of pancreas,malignancy,n/a,10
45556971,C30.1,Malignant neoplasm: Middle ear,malignancy,n/a,10
45556972,C32.3,Malignant neoplasm: Laryngeal cartilage,malignancy,n/a,10
45556976,C43.0,Malignant neoplasm: Malignant melanoma of lip,malignancy,n/a,10
45556984,C46.7,Kaposi sarcoma of other sites,malignancy,n/a,10
45566604,C51.2,Malignant neoplasm: Clitoris,malignancy,n/a,10
45566605,C54.1,Malignant neoplasm: Endometrium,malignancy,n/a,10
45566606,C54.8,Malignant neoplasm: Overlapping lesion of corpus uteri,malignancy,n/a,10
45566608,C57.8,Malignant neoplasm: Overlapping lesion of female genital organs,malignancy,n/a,10
45566609,C57.9,"Malignant neoplasm: Female genital organ, unspecified",malignancy,n/a,10
45566611,C63.8,Malignant neoplasm: Overlapping lesion of male genital organs,malignancy,n/a,10
45561869,C86.5,Angioimmunoblastic T-cell lymphoma,malignancy,n/a,10
45561887,D03.8,Melanoma in situ of other sites,malignancy,n/a,10
45556985,C46.9,"Kaposi sarcoma, unspecified",malignancy,n/a,10
45556986,C47.8,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system,malignancy,n/a,10
45556987,C47.9,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified",malignancy,n/a,10
45556988,C48.2,"Malignant neoplasm: Peritoneum, unspecified",malignancy,n/a,10
45556989,C49.3,Malignant neoplasm: Connective and soft tissue of thorax,malignancy,n/a,10
45556997,C51.1,Malignant neoplasm: Labium minus,malignancy,n/a,10
45556999,C60.0,Malignant neoplasm: Prepuce,malignancy,n/a,10
45557005,C68.8,Malignant neoplasm: Overlapping lesion of urinary organs,malignancy,n/a,10
45557008,C71.1,Malignant neoplasm: Frontal lobe,malignancy,n/a,10
45557012,C77.1,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,malignancy,n/a,10
45557013,C77.8,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,malignancy,n/a,10
45557014,C77.9,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",malignancy,n/a,10
45566617,C75.8,"Malignant neoplasm: Pluriglandular involvement, unspecified",malignancy,n/a,10
45566646,C86.4,Blastic NK-cell lymphoma,malignancy,n/a,10
45557017,C80.0,"Malignant neoplasm, primary site unknown, so stated",malignancy,n/a,10
45557037,C88.0,Waldenström macroglobulinaemia,malignancy,n/a,10
45557051,D03.0,Melanoma in situ of lip,malignancy,n/a,10
45590961,C86.6,Primary cutaneous C,malignancy,n/a,10
45590962,C88.9,"Malignant immunoproliferative disease, unspecified",malignancy,n/a,10
45590969,C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis,malignancy,n/a,10
45595633,C00.0,Malignant neoplasm: External upper lip,malignancy,n/a,10
45595634,C04.1,Malignant neoplasm: Lateral floor of mouth,malignancy,n/a,10
45595636,C10.9,"Malignant neoplasm: Oropharynx, unspecified",malignancy,n/a,10
45595637,C11.1,Malignant neoplasm: Posterior wall of nasopharynx,malignancy,n/a,10
45595638,C13.1,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect",malignancy,n/a,10
45595639,C15.4,Malignant neoplasm: Middle third of oesophagus,malignancy,n/a,10
45595640,C18.1,Malignant neoplasm: Appendix,malignancy,n/a,10
45595641,C31.9,"Malignant neoplasm: Accessory sinus, unspecified",malignancy,n/a,10
45595643,C32.8,Malignant neoplasm: Overlapping lesion of larynx,malignancy,n/a,10
45595644,C32.9,"Malignant neoplasm: Larynx, unspecified",malignancy,n/a,10
45595647,C34.2,"Malignant neoplasm: Middle lobe, bronchus or lung",malignancy,n/a,10
45595648,C38.8,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura",malignancy,n/a,10
45595651,C41.3,"Malignant neoplasm: Ribs, sternum and clavicle",malignancy,n/a,10
45595669,C51.9,"Malignant neoplasm: Vulva, unspecified",malignancy,n/a,10
45595670,C53.0,Malignant neoplasm: Endocervix,malignancy,n/a,10
45595671,C54.2,Malignant neoplasm: Myometrium,malignancy,n/a,10
45595682,C70.0,Malignant neoplasm: Cerebral meninges,malignancy,n/a,10
45595683,C71.4,Malignant neoplasm: Occipital lobe,malignancy,n/a,10
45595685,C77.5,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,malignancy,n/a,10
45595686,C78.4,Secondary malignant neoplasm of small intestine,malignancy,n/a,10
45595687,C78.5,Secondary malignant neoplasm of large intestine and rectum,malignancy,n/a,10
45595688,C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,malignancy,n/a,10
45585981,C03.9,"Malignant neoplasm: Gum, unspecified",malignancy,n/a,10
45585983,C09.8,Malignant neoplasm: Overlapping lesion of tonsil,malignancy,n/a,10
45585984,C16.3,Malignant neoplasm: Pyloric antrum,malignancy,n/a,10
45585986,C18.4,Malignant neoplasm: Transverse colon,malignancy,n/a,10
45585989,C33,Malignant neoplasm of trachea,malignancy,n/a,10
45585990,C39.0,"Malignant neoplasm: Upper respiratory tract, part unspecified",malignancy,n/a,10
45585991,C41.4,"Malignant neoplasm: Pelvic bones, sacrum and coccyx",malignancy,n/a,10
45590875,C00.6,Malignant neoplasm: Commissure of lip,malignancy,n/a,10
45590876,C10.3,Malignant neoplasm: Posterior wall of oropharynx,malignancy,n/a,10
45590877,C13.8,Malignant neoplasm: Overlapping lesion of hypopharynx,malignancy,n/a,10
45590879,C15.8,Malignant neoplasm: Overlapping lesion of oesophagus,malignancy,n/a,10
45590880,C23,Malignant neoplasm of gallbladder,malignancy,n/a,10
45590881,C25.0,Malignant neoplasm: Head of pancreas,malignancy,n/a,10
45590883,C31.1,Malignant neoplasm: Ethmoidal sinus,malignancy,n/a,10
45590887,C43.4,Malignant neoplasm: Malignant melanoma of scalp and neck,malignancy,n/a,10
45590912,C60.8,Malignant neoplasm: Overlapping lesion of penis,malignancy,n/a,10
45586015,C51.0,Malignant neoplasm: Labium majus,malignancy,n/a,10
45586020,C67.2,Malignant neoplasm: Lateral wall of bladder,malignancy,n/a,10
45586025,C72.9,"Malignant neoplasm: Central nervous system, unspecified",malignancy,n/a,10
45586059,C88.3,Immunoproliferative small intestinal disease,malignancy,n/a,10
45590915,C67.4,Malignant neoplasm: Posterior wall of bladder,malignancy,n/a,10
45590919,C72.1,Malignant neoplasm: Cauda equina,malignancy,n/a,10
45590920,C73,Malignant neoplasm of thyroid gland,malignancy,n/a,10
45590923,C75.3,Malignant neoplasm: Pineal gland,malignancy,n/a,10
45590924,C76.2,Malignant neoplasm of other and ill-defined sites: Abdomen,malignancy,n/a,10
45590925,C77.0,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",malignancy,n/a,10
45586074,C96.4,Sarcoma of dendritic cells (accessory cells),malignancy,n/a,10
45586078,D03.4,Melanoma in situ of scalp and neck,malignancy,n/a,10
45605328,C86.1,Hepatosplenic T-cell lymphoma,malignancy,n/a,10
45600475,C05.9,"Malignant neoplasm: Palate, unspecified",malignancy,n/a,10
45600476,C06.0,Malignant neoplasm: Cheek mucosa,malignancy,n/a,10
45600477,C08.1,Malignant neoplasm: Sublingual gland,malignancy,n/a,10
45600478,C09.9,"Malignant neoplasm: Tonsil, unspecified",malignancy,n/a,10
45600479,C14.8,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx",malignancy,n/a,10
45600483,C16.5,"Malignant neoplasm: Lesser curvature of stomach, unspecified",malignancy,n/a,10
45600484,C17.2,Malignant neoplasm: Ileum,malignancy,n/a,10
45600485,C18.2,Malignant neoplasm: Ascending colon,malignancy,n/a,10
45600486,C18.8,Malignant neoplasm: Overlapping lesion of colon,malignancy,n/a,10
45600487,C32.0,Malignant neoplasm: Glottis,malignancy,n/a,10
45600502,C46.3,Kaposi sarcoma of lymph nodes,malignancy,n/a,10
45600503,C48.8,Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum,malignancy,n/a,10
45600519,C67.0,Malignant neoplasm: Trigone of bladder,malignancy,n/a,10
45600521,C71.2,Malignant neoplasm: Temporal lobe,malignancy,n/a,10
45600529,C79.9,"Secondary malignant neoplasm, unspecified site",malignancy,n/a,10
45600561,C86.2,Enteropathy-type (intestinal) T-cell lymphoma,malignancy,n/a,10
45600573,C96.2,Malignant mast cell tumour,malignancy,n/a,10
45595761,D45,Polycythaemia vera,malignancy,n/a,10
45605256,C02.2,Malignant neoplasm: Ventral surface of tongue,malignancy,n/a,10
45605257,C03.0,Malignant neoplasm: Upper gum,malignancy,n/a,10
45605258,C05.0,Malignant neoplasm: Hard palate,malignancy,n/a,10
45605259,C11.0,Malignant neoplasm: Superior wall of nasopharynx,malignancy,n/a,10
45605260,C11.8,Malignant neoplasm: Overlapping lesion of nasopharynx,malignancy,n/a,10
45605261,C14.0,"Malignant neoplasm: Pharynx, unspecified",malignancy,n/a,10
45605262,C31.8,Malignant neoplasm: Overlapping lesion of accessory sinuses,malignancy,n/a,10
45605264,C37,Malignant neoplasm of thymus,malignancy,n/a,10
45605265,C38.4,Malignant neoplasm: Pleura,malignancy,n/a,10
45605274,C48.0,Malignant neoplasm: Retroperitoneum,malignancy,n/a,10
45605278,C54.9,"Malignant neoplasm: Corpus uteri, unspecified",malignancy,n/a,10
45605280,C57.4,"Malignant neoplasm: Uterine adnexa, unspecified",malignancy,n/a,10
45605281,C58,Malignant neoplasm of placenta,malignancy,n/a,10
45581263,C96.6,Unifocal Langerhans-cell histiocytosis,malignancy,n/a,10
45571566,C86.0,"Extranodal NK/T-cell lymphoma, nasal type",malignancy,n/a,10
45576294,C00.3,"Malignant neoplasm: Upper lip, inner aspect",malignancy,n/a,10
45576295,C02.0,Malignant neoplasm: Dorsal surface of tongue,malignancy,n/a,10
45576297,C06.1,Malignant neoplasm: Vestibule of mouth,malignancy,n/a,10
45576298,C07,Malignant neoplasm of parotid gland,malignancy,n/a,10
45576299,C09.1,Malignant neoplasm: Tonsillar pillar (anterior)(posterior),malignancy,n/a,10
45576300,C11.9,"Malignant neoplasm: Nasopharynx, unspecified",malignancy,n/a,10
45576301,C12,Malignant neoplasm of piriform sinus,malignancy,n/a,10
45576302,C15.3,Malignant neoplasm: Upper third of oesophagus,malignancy,n/a,10
45576303,C16.8,Malignant neoplasm: Overlapping lesion of stomach,malignancy,n/a,10
45576304,C17.3,Malignant neoplasm: Meckel diverticulum,malignancy,n/a,10
45576306,C21.1,Malignant neoplasm: Anal canal,malignancy,n/a,10
45576308,C26.1,Malignant neoplasm: Spleen,malignancy,n/a,10
45576309,C26.9,Malignant neoplasm: Ill-defined sites within the digestive system,malignancy,n/a,10
45576312,C41.9,"Malignant neoplasm: Bone and articular cartilage, unspecified",malignancy,n/a,10
45576318,C47.6,"Malignant neoplasm: Peripheral nerves of trunk, unspecified",malignancy,n/a,10
45576328,C52,Malignant neoplasm of vagina,malignancy,n/a,10
45571487,C01,Malignant neoplasm of base of tongue,malignancy,n/a,10
45571489,C15.9,"Malignant neoplasm: Oesophagus, unspecified",malignancy,n/a,10
45571490,C16.9,"Malignant neoplasm: Stomach, unspecified",malignancy,n/a,10
45571491,C18.7,Malignant neoplasm: Sigmoid colon,malignancy,n/a,10
45571492,C22.4,Malignant neoplasm: Other sarcomas of liver,malignancy,n/a,10
45571495,C38.2,Malignant neoplasm: Posterior mediastinum,malignancy,n/a,10
45571496,C39.9,Malignant neoplasm: Ill-defined sites within the respiratory system,malignancy,n/a,10
45571500,C41.1,Malignant neoplasm: Mandible,malignancy,n/a,10
45576329,C53.1,Malignant neoplasm: Exocervix,malignancy,n/a,10
45576331,C60.9,"Malignant neoplasm: Penis, unspecified",malignancy,n/a,10
45576332,C63.2,Malignant neoplasm: Scrotum,malignancy,n/a,10
45576333,C63.9,"Malignant neoplasm: Male genital organ, unspecified",malignancy,n/a,10
45576335,C67.5,Malignant neoplasm: Bladder neck,malignancy,n/a,10
45576338,C77.2,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,malignancy,n/a,10
